,id,handle,text
0,780925634159796224,HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG
3,780907038650068994,HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy"
4,780897419462602752,HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis
5,780893126605037568,realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc"
6,780883582051123200,HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H
7,780881075891531776,HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS
8,780876760086880256,realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe"
12,780863218646474757,realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH"
13,780861171238834176,realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ"
14,780859420846727168,HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S
15,780859319319400448,realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF
16,780853860135006211,realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA"
17,780852261442445312,HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw"
18,780840847256453120,HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG
19,780832403392790529,HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate"
20,780831901204484097,HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether"
21,780830984262516736,HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary"
22,780830729760485378,HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM
23,780830087457406980,HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump"
24,780828916919504896,HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n"
25,780828206039502848,HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF"
26,780827541670076416,HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq"
27,780826236213927937,realDonaldTrump,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!"
28,780825360611086336,HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm"
29,780824346310877184,HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay"
30,780823097498796034,HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay
32,780816109700124672,HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT"
33,780813996739981316,realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd"
34,780812840529723392,HillaryClinton,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO
38,780802294002647040,HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs"
41,780797677009244160,HillaryClinton,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ"
42,780796008854876160,realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM"
43,780794828007305217,HillaryClinton,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm"
44,780792352214573057,HillaryClinton,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden"
45,780790673851224064,HillaryClinton,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm"
46,780787312460464129,HillaryClinton,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon
47,780783037743267840,realDonaldTrump,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp
48,780782299524792320,HillaryClinton,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon"
49,780781898071207940,realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km"
50,780781327050235905,realDonaldTrump,Hillary's been failing for 30 years in not getting the job done - it will never change.
51,780768433910710272,HillaryClinton,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z"
52,780766220618436608,realDonaldTrump,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm
53,780758306239512577,realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!
54,780757611914391552,realDonaldTrump,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.
55,780752731418009600,realDonaldTrump,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y"
56,780752274020761601,realDonaldTrump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?
57,780746901591199744,HillaryClinton,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO"
58,780738162880634880,HillaryClinton,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb
59,780719876335894528,realDonaldTrump,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!
60,780656338628145153,realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb"
61,780646830090641408,realDonaldTrump,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn"
62,780644145492877312,realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op"
63,780642262921441280,realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu"
64,780637633890451456,realDonaldTrump,".@newtgingrich just said ""a historic victory for Trump."" NICE!"
66,780626558176333824,realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!"
67,780619128210087937,HillaryClinton,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J
68,780618680338178048,realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8"
69,780618351601192960,realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC"
70,780617562476441601,realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ"
72,780613300086276096,HillaryClinton,#DebateNight https://t.co/x4oTfkIlHS
73,780611407221960704,HillaryClinton,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z"
78,780602342890737664,HillaryClinton,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF
79,780600557325156353,HillaryClinton,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY
81,780599274384027648,HillaryClinton,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs
82,780598650628169729,HillaryClinton,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc
83,780598541441912832,realDonaldTrump,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs"
84,780597941979480064,realDonaldTrump,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight
85,780597846814982144,HillaryClinton,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu"
86,780597333650239488,HillaryClinton,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j
87,780596871102201856,realDonaldTrump,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L
88,780596663345905664,HillaryClinton,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight"
90,780595314210267137,HillaryClinton,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J"
91,780594918616162304,realDonaldTrump,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton."
92,780594655318638592,HillaryClinton,.@realDonaldTrump: Barack Obama is your president too. #debatenight
93,780594447427960833,HillaryClinton,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight
94,780594362862362624,realDonaldTrump,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… https://t.co/OoakXs2rij"
95,780594312182657024,HillaryClinton,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… https://t.co/OXigxJhmqJ
98,780593298247483392,realDonaldTrump,Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr
99,780592744355893248,realDonaldTrump,".@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight 
https://t.co/6EEOAaCiNv"
101,780592331368128512,HillaryClinton,"""I hope the fact-checkers are turning up the volume. Donald Trump supported the invasion of Iraq.” https://t.co/CoyJtoyxd0"
103,780591277620551680,HillaryClinton,What is the deal with Donald Trump and Russia? https://t.co/xUYxOdoYo3 #debatenight
106,780589899518967808,HillaryClinton,"When Donald Trump goes low, we go high. #DebateNight https://t.co/5MUlOMJqWM"
107,780589488271687681,HillaryClinton,"When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind of president he'd be."
109,780588840201388032,HillaryClinton,"Donald Trump's answer for his five years of pushing the racist birther conspiracy theory?

""I say nothing."" #debatenight"
110,780588262402424832,HillaryClinton,"""Trump just criticized me for preparing for this debate. You know what else I prepared for? Being president."" #DebateNight"
111,780588035805175808,HillaryClinton,President Obama was born in the United States. He’s American. Trump only has one reason for refusing to admit it. #debatenight
112,780587655109181440,HillaryClinton,"Still a complete lie. #DebateNight 
https://t.co/F8aCfIqYWs"
113,780586814126034945,HillaryClinton,Donald Trump is more concerned with pandering to the gun lobby than keeping families safe. #DebateNight https://t.co/LspcUJNUc5
114,780586553836003333,HillaryClinton,"The fact that Trump's answer to a question about racial injustice is just ""we need law and order"" pretty much says it all. #debatenight"
115,780586416476676098,HillaryClinton,We’ve got to address the systemic racism in our criminal justice system and end private prisons. #DebateNight https://t.co/8afCXJAAjI
117,780585742850555904,realDonaldTrump,I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp
118,780585423764647936,HillaryClinton,We are not going to bring New York’s unconstitutional stop-and-frisk program nationwide. #debatenight
120,780583951647768577,HillaryClinton,"""Maybe he didn't do a good job."" —Donald Trump

Looks like you “loved” it at the time. #DebateNight… https://t.co/LelC6Tb3nj"
122,780582940732424192,HillaryClinton,"""It's about time this country had somebody running it who has an idea about money."" —Trump #debatenight https://t.co/dpDrKCHVCd"
123,780582541019475968,HillaryClinton,"Paying zero in taxes doesn’t make you ""smart.""

It makes you a tax evader. https://t.co/g9nQkSRvTB"
124,780582086231126016,HillaryClinton,No wonder Donald Trump is hiding his tax returns. #debatenight https://t.co/gcvsadMwHJ
125,780581933176778752,realDonaldTrump,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016"
127,780581215820591104,realDonaldTrump,HILLARY'S BAD TAX HABIT! https://t.co/x3FBy8Hdq2
128,780580825234415616,realDonaldTrump,A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5
129,780579923295600640,realDonaldTrump,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016
130,780579728964980736,realDonaldTrump,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creati… https://t.co/02NMQn3ZNQ"
132,780579514938261504,HillaryClinton,Donald Trump may live in his own reality—but we've got his own words right here. Check them out: https://t.co/NLPH8sbAGn #debatenight
133,780578636294459392,realDonaldTrump,.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016
134,780578052216676352,HillaryClinton,"We can step up and confront climate change, save our planet, and invest in clean energy. 

Or, we can do nothing.… https://t.co/U29h8UaYZP"
135,780577643456565248,HillaryClinton,"""I never said that."" —Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL"
136,780577456080166912,HillaryClinton,"""That's called business."" —Donald Trump on the housing crash.

For millions of Americans it was called ""losing their home."" #DebateNight"
